step,total_reward,0_phase,0_total_queue,1_phase,1_total_queue,10_phase,10_total_queue,11_phase,11_total_queue,12_phase,12_total_queue,13_phase,13_total_queue,14_phase,14_total_queue,15_phase,15_total_queue,2_phase,2_total_queue,3_phase,3_total_queue,4_phase,4_total_queue,5_phase,5_total_queue,6_phase,6_total_queue,7_phase,7_total_queue,8_phase,8_total_queue,9_phase,9_total_queue
24,-5.607572894483805,1,0.3962003,1,0.29215753,1,0.66761565,1,0.52882564,1,0.15658364,1,0.10320285,1,0.10035586,1,0.12028469,1,0.37060475,1,0.59448,1,0.76868325,1,0.35729536,1,0.47900355,1,0.64512455,1,0.5807829,1,0.56441283
25,-5.587428859561682,0,0.25059837,0,0.17192781,0,0.31425464,0,0.20106761,0,0.14864388,0,0.06251483,0,0.0,0,0.0,0,0.17271018,0,0.5674517,0,0.33772242,0,0.06690391,0,0.24033214,0,0.36209965,0,0.22462633,0,0.31487545
26,-0.5808645129203797,0,0.08488905,0,0.2787663,0,0.3325425,0,0.20355871,0,0.29728776,0,0.21755634,0,0.13357058,0,0.0,0,0.18718861,0,0.48368156,0,0.091534585,0,0.106998816,0,0.18529063,0,0.20130485,0,0.23106727,0,0.19905101
27,-0.6593343555927277,0,0.06762945,0,0.4405694,0,0.6108541,0,0.34377223,0,0.49547964,0,0.56494665,0,0.32384342,0,0.06690391,0,0.40782917,0,0.6313167,0,0.1784666,0,0.22064057,0,0.40735468,0,0.26903915,0,0.36327344,0,0.416726
28,-5.610556527167559,0,0.1266291,0,0.47900355,0,0.75231314,0,0.34377223,0,0.44026065,0,0.6989324,0,0.32384342,0,0.13380782,0,0.44128114,0,0.6825623,0,0.31701303,0,0.22064057,0,0.4441281,0,0.26903915,0,0.3955618,0,0.52455515
29,-5.68292762631178,1,0.0,1,0.13380782,1,0.4931198,1,0.102609724,1,0.3714009,1,0.39245552,1,0.07639383,1,0.038434163,1,0.22263345,1,0.3665794,1,0.2843054,1,0.03914591,1,0.19632265,1,0.1608541,1,0.25234246,1,0.33516014
30,-0.6982739746570588,1,0.11965668,1,0.0,1,0.35415184,1,0.33896798,1,0.33879003,1,0.23202847,1,0.23701067,1,0.38487545,1,0.036351398,1,0.2712891,1,0.2649565,1,0.35088968,1,0.23053381,1,0.4483986,1,0.4345196,1,0.14685646
31,-0.8324924267828465,1,0.19252777,1,0.076472566,1,0.49893236,1,0.45306444,1,0.5807829,1,0.3871886,1,0.47402135,1,0.5398972,1,0.10245709,1,0.43714237,1,0.45422104,1,0.4505338,1,0.5124555,1,0.8256228,1,0.76040924,1,0.23701069
32,-5.7246520075351,1,0.25580612,1,0.1114103,1,0.49893236,1,0.59572953,1,0.5807829,1,0.5814947,1,0.5459075,1,0.6156584,1,0.16573545,1,0.62044203,1,0.6434164,1,0.5658363,1,0.5124555,1,0.89181495,1,0.8690392,1,0.27046263
33,-5.695075251102447,0,0.10905419,0,0.05088968,0,0.2755239,0,0.28030843,0,0.2577366,0,0.34009492,0,0.27402136,0,0.32740214,0,0.16132106,0,0.5124867,0,0.5048025,0,0.2480427,0,0.21864769,0,0.4811388,0,0.53159744,0,0.033451956
34,-0.6562228992581368,0,0.092109896,0,0.37508896,0,0.32771847,0,0.38778174,0,0.20007044,0,0.26067615,0,0.3728351,0,0.27212337,0,0.28185052,0,0.29548338,0,0.2839226,0,0.20156583,0,0.06690391,0,0.30723608,0,0.24268144,0,0.34270462
35,-0.7676988527178765,0,0.23458964,0,0.37508896,0,0.5385053,0,0.5871886,0,0.36535752,0,0.5846975,0,0.55871886,0,0.2519573,0,0.3553974,0,0.43843418,0,0.47650582,0,0.44654804,0,0.20071174,0,0.4441281,0,0.21733004,0,0.48707
36,-5.660284837648272,0,0.3718915,0,0.37508896,0,0.6448399,0,0.68540925,0,0.45382178,0,0.6939502,0,0.68896794,0,0.29039145,0,0.39217082,0,0.47473308,0,0.5165728,0,0.4939502,0,0.20071174,0,0.50881773,0,0.2849595,0,0.60071176
37,-5.6897889397442345,1,0.14938359,1,0.06509113,1,0.46108344,1,0.36818504,1,0.31121805,1,0.33736655,1,0.46604985,1,0.14519574,1,0.11530249,1,0.26239622,1,0.32162312,1,0.14177936,1,0.033451956,1,0.348191,1,0.17128767,1,0.26524317
38,-0.6589453756809235,1,0.0,1,0.09547851,1,0.37275603,1,0.33736655,1,0.3901019,1,0.22633451,1,0.43128112,1,0.38256228,1,0.16425446,1,0.19634241,1,0.2596797,1,0.29039145,1,0.16725978,1,0.41233692,1,0.2605694,1,0.27117437
39,-0.7909905984997749,1,0.048131943,1,0.26900032,1,0.56067616,1,0.797153,1,0.5672598,1,0.21850534,1,0.43202847,1,0.5263345,1,0.18332772,1,0.3493773,1,0.3227758,1,0.32052195,1,0.33451957,1,0.6686121,1,0.48320284,1,0.5080269
40,-5.712552651703358,1,0.13261528,1,0.37664086,1,0.7330961,1,0.858363,1,0.67568207,1,0.2569395,1,0.43202847,1,0.56227756,1,0.2149669,1,0.49377313,1,0.4405694,1,0.3572954,1,0.3010676,1,0.75145906,1,0.74377227,1,0.5793594
41,-5.728681278169155,0,0.0,0,0.26146078,0,0.47947806,0,0.43096086,0,0.46038708,0,0.0,0,0.19608541,0,0.27443653,0,0.09124772,0,0.24301583,0,0.16129524,0,0.15602016,0,0.24023725,0,0.53459865,0,0.52374065,0,0.4325623
42,-0.6990705452859403,0,0.14469883,0,0.22448398,0,0.36120996,0,0.24721235,0,0.392866,0,0.2475445,0,0.34128112,0,0.428707,0,0.24572954,0,0.22348756,0,0.2014794,0,0.34457296,0,0.38586003,0,0.2004745,0,0.22327861,0,0.43392646
43,-0.8191393338143826,0,0.24247974,0,0.44896796,0,0.47378412,0,0.5599842,0,0.4866737,0,0.50320286,0,0.7104626,0,0.64555156,0,0.27046263,0,0.22348756,0,0.30036986,0,0.69260573,0,0.52740216,0,0.06690391,0,0.25135612,0,0.5870107
44,-5.694219190567732,0,0.26840436,0,0.5103203,0,0.5807829,0,0.59786475,0,0.6005244,0,0.59572953,0,0.7545131,0,0.7323843,0,0.43914592,0,0.3266904,0,0.4820007,0,0.7871886,0,0.52740216,0,0.06690391,0,0.29235646,0,0.6291815
45,-5.670390653550625,1,0.12910706,1,0.17882563,1,0.24911033,1,0.4142586,1,0.43417037,1,0.33897984,1,0.44823033,1,0.41352314,1,0.165447,1,0.0,1,0.33820716,1,0.45572954,1,0.2173191,1,0.080604985,1,0.11882118,1,0.31985766
46,-0.6329279646277428,1,0.06799058,1,0.12655671,1,0.32605773,1,0.44256228,1,0.2643688,1,0.22953737,1,0.38683274,1,0.46085408,1,0.07458768,1,0.14203972,1,0.2922223,1,0.33576512,1,0.14709371,1,0.28024912,1,0.28612098,1,0.20106761
47,-0.7789150893688203,1,0.27566475,1,0.16236958,1,0.43558717,1,0.6486833,1,0.48857257,1,0.42562276,1,0.41032028,1,0.74519575,1,0.1513744,1,0.22102547,1,0.3039146,1,0.61423486,1,0.18718861,1,0.5220641,1,0.5117438,1,0.22571766
