step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,50,855.0,6.240875912408759,7.363386613668581,2,9.0,0.46187177209686386,8,79.0,0.40672694461676995,0,0.0,0.9094482382750791,0,0.0,0.9825657220216077,12,271.0,0.4029408150832817,0,0.0,0.9075003786432917,0,0.0,0.9481939491653618,0,0.0,0.9406857947053883,0,0.0,0.9479635589800277,0,0.0,0.988270724880301,11,205.0,0.41100859116618765,0,0.0,0.9529961685375943,0,0.0,0.8974850237445803,0,0.0,0.8990930777213613,17,308.0,0.17426448753110657,0,0.0,0.9351964140217559,50,872.0
60.0,58,1128.0,7.570469798657718,7.257938472849612,5,32.0,0.5713264264316747,8,119.0,0.5098491919356147,0,0.0,0.8753490479291327,0,0.0,0.9339728838786105,13,332.0,0.21549288108683892,0,0.0,0.9230901149909971,0,0.0,0.9624408425542162,0,0.0,0.9236971836219253,0,0.0,0.9616894615057362,0,0.0,0.9581688469508299,13,263.0,0.22186120990296285,0,0.0,0.9337774244295998,0,0.0,0.9533216326098376,0,0.0,0.8663471036115832,19,395.0,0.1657541825591575,0,0.0,0.9734455200365894,58,1141.0
65.0,62,1397.0,8.841772151898734,6.845715810640597,2,29.0,0.4149010300839401,8,159.0,0.3187788033613734,0,0.0,0.818470659048476,0,0.0,0.9519536790211024,15,405.0,0.2093948681854151,0,0.0,0.9432397302172073,0,0.0,0.939980462196411,0,0.0,0.9402070264150921,0,0.0,0.9651302074081766,0,0.0,0.9482608453295781,17,346.0,0.17214397990077093,0,0.0,0.9703385645802782,0,0.0,0.9471196445797181,0,0.0,0.9530522963944776,20,494.0,0.23495688702006995,0,0.0,0.9549124810312946,62,1433.0
70.0,70,1728.0,10.409638554216867,6.793445534085739,3,17.0,0.438836919959148,11,206.0,0.17813013300440977,0,0.0,0.9531156598688414,0,0.0,0.9207582122981817,16,483.0,0.14651780930796876,0,0.0,0.932073607507801,0,0.0,0.8597847424252082,0,0.0,0.9453292266540853,0,0.0,0.9809592020234247,0,0.0,0.9245295319971756,19,435.0,0.3126525349469472,0,0.0,0.9385205257973853,0,0.0,0.9680621993103968,0,0.0,0.9587939225878285,21,599.0,0.22950495278095012,0,0.0,0.9529058557120871,70,1740.0
75.0,81,2115.0,12.155172413793103,6.5500711620965895,5,39.0,0.46460534913435114,13,270.0,0.22291630557278758,0,0.0,0.9355297792856693,0,0.0,0.9278147440707981,18,571.0,0.19634737376056444,0,0.0,0.9224083944674576,0,0.0,0.8551204716646233,0,0.0,0.9756982435147715,0,0.0,0.9469513116572352,0,0.0,0.9313804580021788,22,535.0,0.22826547578957537,0,0.0,0.9524858423609136,0,0.0,0.946889175135167,0,0.0,0.9354024425002755,23,709.0,0.09596318781656255,0,0.0,0.9549517202090186,81,2124.0
80.0,81,2473.0,13.738888888888889,6.653122500759536,1,30.0,0.5248492956560123,13,339.0,0.2428320489076234,0,0.0,0.9404954035822979,0,0.0,0.9762397366971977,19,664.0,0.28618963903761646,0,0.0,0.949209017100158,0,0.0,0.9100062977837209,0,0.0,0.9427492410920969,0,0.0,0.9587951909700525,0,0.0,0.9374504163414118,24,651.0,0.14155274084696715,0,0.0,0.9602716324585204,0,0.0,0.9525333633520576,0,0.0,0.9204230411174504,24,826.0,0.12662696623367015,0,0.0,0.9748724382100782,81,2510.0
85.0,85,2880.0,15.567567567567568,6.601164868483856,1,6.0,0.4007936986136364,13,404.0,0.3658569503190531,0,0.0,0.9636179110855976,0,0.0,0.9748479660911267,21,761.0,0.19292365461849784,0,0.0,0.9606980453914978,0,0.0,0.9146762457895363,0,0.0,0.9445180170068452,0,0.0,0.9531056094532288,0,0.0,0.9672387072410702,24,771.0,0.03767250067527182,0,0.0,0.9343023942520603,0,0.0,0.9707178362600789,0,0.0,0.8839936020059884,26,953.0,0.24005033668055029,0,0.0,0.9820153421876053,85,2895.0
90.0,92,3317.0,17.36649214659686,6.198755288214005,1,4.0,0.6501452696964043,14,470.0,0.22308867513976335,0,0.0,0.9257531223717305,0,0.0,0.9261615384770326,24,877.0,0.14926348282403648,0,0.0,0.9733789166557303,0,0.0,0.947696403997622,0,0.0,0.9505005217443994,0,0.0,0.9714278211122096,0,0.0,0.9561631971767195,24,895.0,0.06701056440245562,0,0.0,0.9788770521173771,0,0.0,0.9687550276091439,0,0.0,0.9294422412201284,29,1089.0,0.19026154429185466,0,0.0,0.9491611241718374,92,3335.0
95.0,102,3807.0,19.623711340206185,5.6675803957507895,2,9.0,0.7450312495188671,18,553.0,0.047332934292981584,0,0.0,0.9472376153933932,0,0.0,0.8971340128113627,26,1002.0,0.09538406679655309,0,0.0,0.9322455257103079,0,0.0,0.9536562700380197,0,0.0,0.9636935173223921,0,0.0,0.9626023518649504,0,0.0,0.9318814775004205,24,1015.0,0.1025300517633105,0,0.0,0.9622456723466866,0,0.0,0.9463284889156713,0,0.0,0.9524753195598348,32,1243.0,0.0834335621297853,0,0.0,0.9774203822755207,102,3822.0
100.0,109,4334.0,21.141463414634146,5.739819116997635,0,0.0,0.7314618363862354,21,660.0,0.14698548855324098,0,0.0,0.9293663629730454,0,0.0,0.9031514081601574,30,1148.0,0.18934616224129533,0,0.0,0.9793859837969321,0,0.0,0.9279752185462057,0,0.0,0.9360304458529478,0,0.0,0.9530726664546096,0,0.0,0.9809661499694404,25,1139.0,0.12667207861847746,0,0.0,0.9252252331306535,0,0.0,0.9691360874728515,0,0.0,0.933811084880857,33,1406.0,0.013815936783496895,0,0.0,0.9577772545809775,109,4353.0
