sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
210.0,1050.0,62,368.0,1.2225913621262459,8.037375214063013,0,2,10,0,0,1,2,2,6,4,4,4,5,12,4,6,0
215.0,1075.0,53,248.0,0.835016835016835,6.442948428454688,0,2,4,2,1,3,8,3,6,0,3,0,7,6,2,6,0
220.0,1100.0,55,274.0,0.9383561643835616,6.705143336757711,0,4,2,4,2,0,8,7,1,0,6,4,7,1,2,7,0
225.0,1125.0,70,533.0,1.831615120274914,8.129111782727605,0,5,3,4,4,0,8,7,0,0,13,10,0,8,0,8,0
230.0,1150.0,57,456.0,1.5778546712802768,7.745991589100857,0,0,0,1,4,2,5,7,2,0,8,10,2,12,0,4,0
235.0,1175.0,39,275.0,0.9482758620689655,7.037125672373246,0,1,5,4,4,0,3,1,2,0,1,4,7,7,0,0,0
240.0,1200.0,52,266.0,0.8986486486486487,7.949053002505853,0,2,9,10,0,1,3,0,7,2,3,5,5,5,0,0,0
245.0,1225.0,46,299.0,0.9933554817275747,7.746817148642987,0,0,3,10,2,1,4,1,8,0,2,7,1,5,0,0,2
250.0,1250.0,48,243.0,0.801980198019802,7.216636214242292,0,1,3,4,5,0,2,1,2,0,8,9,5,0,0,1,7
255.0,1275.0,59,321.0,1.0771812080536913,6.94975530160686,0,3,6,3,7,0,0,0,0,0,12,6,3,1,0,6,12
260.0,1300.0,58,259.0,0.8436482084690554,7.05364759915759,0,1,6,2,5,0,0,1,0,2,8,2,1,7,3,7,13
265.0,1325.0,53,241.0,0.7799352750809061,7.096765211816365,0,2,6,5,5,0,3,2,2,2,3,2,1,7,1,4,8
270.0,1350.0,61,398.0,1.296416938110749,7.8734673889711075,0,2,10,9,5,0,2,3,7,2,7,2,0,6,0,4,2
275.0,1375.0,59,340.0,1.1447811447811447,6.987704106383689,0,1,6,9,1,4,1,3,6,2,8,1,1,10,0,4,2
280.0,1400.0,62,366.0,1.2620689655172415,7.228628010550198,0,5,2,7,3,6,1,0,0,0,5,2,6,11,0,6,8
285.0,1425.0,80,645.0,2.2241379310344827,7.627170080332191,0,6,3,12,3,9,0,0,0,0,4,6,8,11,0,6,12
290.0,1450.0,63,438.0,1.5155709342560553,6.740430936259148,0,4,0,7,3,5,0,2,2,2,7,1,4,5,0,4,17
295.0,1475.0,49,287.0,0.9896551724137931,6.711827208616997,0,1,6,1,3,0,0,1,7,1,2,0,4,6,0,2,15
300.0,1500.0,51,302.0,1.030716723549488,7.779288195462907,0,2,9,1,3,0,0,1,7,2,5,0,0,8,0,6,7
305.0,1525.0,42,213.0,0.7171717171717171,7.344739544626554,0,1,4,2,0,2,0,1,5,6,5,1,1,4,2,2,6
310.0,1550.0,60,236.0,0.7866666666666666,6.873442962239166,0,5,2,3,5,1,0,0,8,2,2,3,6,7,2,6,8
315.0,1575.0,76,413.0,1.3859060402684564,6.918237050660945,0,9,4,7,11,3,1,0,2,0,4,7,3,11,0,8,6
320.0,1600.0,84,550.0,1.8333333333333333,6.4378606453447915,0,4,1,11,11,4,6,0,0,1,9,10,0,7,0,8,12
